date,numbers,fetched_at
30/07/2018 to 05/08/2018,"4,6,8,8,8,4,5,9,1,4,8,3,0,1,1,8,1,2,0,3,2,2,2,8,1,4,5,0,9,1,3,5,8,9,0,7,9,9,0,0,3,6,7,6,6,1,1,4,1,3,4,8,2,5,8,9",2026-09-18 13:49:36
06/08/2018 to 12/08/2018,"3,7,7,7,7,1,6,0,5,6,7,8,4,5,9,0,3,4,6,3,1,6,7,8,1,3,5,9,2,2,2,8,6,6,9,1,6,7,9,0,2,3,6,1,3,2,2,9,5,9,9,3,3,5,8,0",2026-09-18 13:49:36
13/08/2018 to 19/08/2018,"2,6,0,8,2,2,4,6,1,3,7,1,6,1,7,8,4,7,8,9,9,1,8,0,5,8,9,2,4,4,5,5,7,8,0,5,7,1,3,3,5,6,0,1,4,2,6,6",2026-09-18 13:49:36
20/08/2018 to 26/08/2018,"4,8,8,0,8,3,5,0,2,3,5,0,7,5,5,7,2,3,4,9,6,2,5,9,3,9,0,2,7,3,5,9,2,8,0,0,1,5,6,0,2,7,9,8,0,5,7,8,3,7,9,9,0,1,2,7",2026-09-18 13:49:36
27/08/2018 to 02/09/2018,"6,8,0,4,9,1,1,7,1,7,0,8,1,6,6,9,1,2,5,8,7,4,5,8,7,7,0,4,8,1,2,5,1,8,0,9,4,1,5,8,5,7,7,9,8,8,0,0,1,1,9,1,2,5,8,9",2026-09-18 13:49:36
03/09/2018 to 09/09/2018,"4,7,9,0,0,5,5,0,3,4,4,1,6,3,5,8,6,6,8,0,1,1,4,6,3,6,0,9,4,5,9,0,2,4,6,2,6,8,9,9,6,9,9,4,9,1,2,6,3,4,9,6,4,7,8,9",2026-09-18 13:49:36
10/09/2018 to 16/09/2018,"3,5,8,6,2,6,6,0,3,8,9,0,9,4,5,0,2,5,5,2,6,1,6,9,2,4,0,6,0,6,7,7,7,7,7,1,2,2,2,8,6,6,7,9,1,2,9,0,2,3,0,5,4,3,3,8",2026-09-18 13:49:36
17/09/2018 to 23/09/2018,"7,8,9,4,3,1,3,9,4,9,9,2,9,5,6,8,1,5,9,5,3,1,3,9,4,5,8,7,3,1,2,0,5,7,9,1,7,2,5,0,2,3,9,4,8,4,6,8,1,6,8,5,2,1,5,6",2026-09-18 13:49:36
24/09/2018 to 30/09/2018,"2,9,9,0,1,4,8,9,5,5,6,6,0,5,6,9,4,7,9,0,2,1,3,8,5,6,9,0,2,1,4,7,4,5,9,8,2,6,6,0,1,3,4,8,6,3,3,0,4,5,8,7,0,1,2,7",2026-09-18 13:49:36
01/10/2018 to 07/10/2018,"2,2,7,1,8,1,3,4,3,5,6,4,9,4,7,8,6,7,8,1,5,5,0,0,7,8,0,5,9,1,3,5,1,3,5,9,2,6,7,9,2,7,7,6,5,6,9,0,4,4,9,7,0,4,6,0",2026-09-18 13:49:36
