date,numbers,fetched_at
03/02/2020 to 07/02/2020,"1,5,9,5,1,2,9,0,1,3,0,4,5,2,6,7,2,6,8,6,6,2,5,9,5,7,9,1,2,1,3,8,1,4,5,0,1,1,3,7",2026-09-18 13:49:42
10/02/2020 to 14/02/2020,"6,7,8,1,7,3,4,0,1,3,3,7,2,1,2,9,1,2,6,9,9,4,7,8,4,6,6,6,7,2,6,9,4,7,7,8,7,8,9,0",2026-09-18 13:49:42
17/02/2020 to 21/02/2020,"8,9,0,7,6,3,5,8,1,2,9,2,5,4,5,6,3,5,0,8,0,1,9,0,2,5,9,6,7,4,4,9,1,2,7,0,3,1,5,7",2026-09-18 13:49:42
24/02/2020 to 28/02/2020,"2,4,8,4,8,4,7,7,2,5,9,6,7,1,6,0,4,5,7,6,6,2,4,0,4,5,9,8,4,2,3,9,4,7,0,1,5,7,8,0",2026-09-18 13:49:42
02/03/2020 to 06/03/2020,"2,6,9,7,2,7,7,8,7,8,9,4,0,1,4,5,7,0,0,7,9,4,6,9,6,8,0,4,3,3,0,0,1,4,4,9,2,1,5,6",2026-09-18 13:49:42
09/03/2020 to 13/03/2020,"2,4,5,1,3,1,4,8,1,4,7,2,9,4,5,0,5,6,8,9,9,2,8,9,4,6,7,7,1,3,9,9",2026-09-18 13:49:42
16/03/2020 to 20/03/2020,"1,5,7,3,3,6,8,9,5,7,8,0,7,4,5,8,2,4,7,3,1,3,4,4,3,6,9,8,3,3,4,6,2,4,6,2,7,4,5,8",2026-09-18 13:49:42
11/05/2020 to 15/05/2020,"2,2,4,8,1,3,8,0,2,4,5,1,5,2,4,9,5,7,8,0,1,3,4,4,4,8,0,2,2,1,4,7,2,4,4,0,8,3,6,9",2026-09-18 13:49:42
18/05/2020 to 22/05/2020,"1,1,3,5,8,2,7,9,2,4,0,6,1,3,8,0,2,4,9,5,6,3,5,8,2,4,9,5,7,1,7,9,2,8,9,9,1,5,7,9",2026-09-18 13:49:42
25/05/2020 to 29/05/2020,"6,7,7,0,9,3,6,0,4,5,7,6,6,3,6,7,4,6,0,0,0,2,9,9,5,8,0,3,5,2,4,9,3,6,9,8,8,3,7,8",2026-09-18 13:49:42
01/06/2020 to 05/06/2020,"4,4,6,4,5,2,6,7,6,7,7,0,5,1,2,2,1,4,9,4,3,7,7,9,6,7,9,2,1,2,2,7,5,7,9,1,8,1,7,0",2026-09-18 13:49:42
08/06/2020 to 12/06/2020,"2,6,8,6,5,7,8,0,3,4,0,7,7,7,0,0,3,3,6,2,9,1,3,5,4,5,8,7,7,2,6,9,1,2,5,8,6,8,9,9",2026-09-18 13:49:42
15/06/2020 to 19/06/2020,"1,7,8,6,0,1,9,0,3,7,0,0,6,8,9,9,3,5,9,7,6,2,5,9,1,7,0,8,7,3,6,8,2,4,7,3,5,6,9,0",2026-09-18 13:49:42
22/06/2020 to 26/06/2020,"4,9,9,2,6,3,4,9,4,9,0,3,0,5,7,8,3,4,0,7,9,2,8,9,6,7,9,2,8,1,3,4,4,6,8,8,2,3,4,5",2026-09-18 13:49:42
29/06/2020 to 03/07/2020,"4,5,9,8,6,8,9,9,1,7,9,7,8,4,5,9,2,5,6,3,2,6,7,9,1,5,9,5,2,5,8,9,5,7,0,2,4,2,4,8",2026-09-18 13:49:42
06/07/2020 to 10/07/2020,"1,5,6,2,2,3,9,0,9,9,0,8,4,2,5,7,4,4,6,4,5,8,8,9,1,5,6,2,0,1,3,6,3,4,8,5,2,1,4,7",2026-09-18 13:49:42
13/07/2020 to 17/07/2020,"1,7,8,6,7,4,6,7,5,6,7,8,7,2,7,8,3,3,8,4,1,1,2,8,3,7,7,7,3,7,7,9,4,8,8,0,0,1,2,7",2026-09-18 13:49:42
20/07/2020 to 24/07/2020,"4,5,8,7,0,2,9,9,7,7,9,3,0,5,5,0,2,5,0,7,3,3,5,5,3,5,9,7,3,2,4,7,2,3,0,5,6,1,2,3",2026-09-18 13:49:42
27/07/2020 to 31/07/2020,"2,3,6,1,9,3,8,8,4,7,0,1,9,3,6,0,6,8,9,3,6,2,4,0,4,5,5,4,6,1,5,0,4,5,8,7,9,5,7,7",2026-09-18 13:49:42
03/08/2020 to 07/08/2020,"1,2,0,3,2,1,3,8,1,4,6,1,6,3,4,9,2,4,5,1,1,2,4,5,6,9,0,5,9,1,2,6,2,2,9,3,1,3,8,0",2026-09-18 13:49:42
10/08/2020 to 14/08/2020,"1,6,7,4,2,5,7,0,3,7,9,9,4,5,9,0,6,8,9,3,1,1,3,7,3,6,7,6,7,1,6,0,1,2,9,2,7,1,7,9",2026-09-18 13:49:42
17/08/2020 to 21/08/2020,"3,7,0,0,8,1,7,0,3,0,0,3,7,5,6,6,1,1,9,1,3,5,9,9,4,7,0,1,8,2,2,4,2,3,4,9,8,3,6,9",2026-09-18 13:49:42
