date,numbers,fetched_at
01/11/2021 to 07/11/2021,"1,7,8,6,9,2,3,4,1,5,7,3,9,3,6,0,6,9,0,5,8,3,7,8,6,0,0,6,7,1,2,4,2,6,9,7,7,1,6,0,1,1,4,6,0,4,7,9,8,8,0,6,1,1,4,6",2026-09-18 18:18:54
08/11/2021 to 14/11/2021,"1,8,9,8,8,1,2,5,3,8,9,0,6,3,6,7,4,8,8,0,6,4,6,6,3,7,0,0,9,4,6,9,1,2,9,2,4,1,6,7,3,0,0,3,5,1,6,8,1,4,9,4,8,5,5,8",2026-09-18 18:18:54
15/11/2021 to 21/11/2021,"3,3,5,1,0,5,6,9,3,6,8,7,6,2,5,9,2,4,8,4,3,2,5,6,2,6,8,6,2,3,4,5,5,5,0,0,1,6,7,8,5,6,7,8,2,1,4,7,2,2,0,4,3,1,6,6",2026-09-18 18:18:54
22/11/2021 to 28/11/2021,"3,4,8,5,2,2,3,7,3,7,9,9,1,1,2,8,2,7,0,9,4,2,3,9,2,4,6,2,0,6,7,7,5,6,0,1,7,1,7,9,5,7,8,0,1,1,4,6,2,4,0,6,0,1,3,6",2026-09-18 18:18:54
29/11/2021 to 05/12/2021,"2,8,8,8,9,2,2,5,3,4,7,4,4,3,5,6,1,3,5,9,9,5,6,8,5,5,6,6,5,5,0,0,2,8,9,9,1,5,7,9,1,5,5,1,1,2,4,5,4,8,0,2,9,4,5,0",2026-09-18 18:18:54
06/12/2021 to 12/12/2021,"2,2,9,3,0,2,9,9,6,6,8,0,9,1,4,4,1,2,7,0,7,3,7,7,2,6,6,4,4,4,0,0,1,6,0,7,3,3,5,5,2,6,7,5,8,1,7,0,1,1,2,4,4,6,9,9",2026-09-18 18:18:54
13/12/2021 to 19/12/2021,"9,9,0,8,8,2,2,4,4,9,0,3,9,4,7,8,3,4,5,2,3,1,2,0,3,4,9,6,5,1,4,0,1,9,0,0,6,1,7,8,1,3,7,1,1,4,7,0,1,2,8,1,1,3,3,5",2026-09-18 18:18:54
20/12/2021 to 26/12/2021,"1,9,9,9,2,2,5,5,3,6,6,5,5,1,5,9,6,8,0,4,0,2,4,4,1,5,6,2,5,4,5,6,1,4,8,3,3,6,8,9,2,2,7,1,8,8,0,0,1,3,0,4,8,4,5,9",2026-09-18 18:18:54
27/12/2021 to 02/01/2022,"3,6,7,6,2,1,1,0,4,6,9,9,2,6,7,9,1,1,9,1,4,1,4,9,3,9,9,1,3,7,7,9,9,0,0,9,8,4,7,7,3,4,8,5,4,2,4,8,6,9,0,5,7,2,7,8",2026-09-18 18:18:54
03/01/2022 to 09/01/2022,"2,3,3,8,7,3,6,8,2,9,0,1,9,5,7,7,1,6,8,5,0,1,3,6,5,7,8,0,2,2,4,6,1,1,5,7,8,2,6,0,1,6,7,4,4,7,8,9,2,3,7,2,3,1,3,9",2026-09-18 18:18:54
10/01/2022 to 16/01/2022,"2,3,0,5,9,3,7,9,2,4,7,3,1,3,8,0,3,4,4,1,5,2,5,8,2,3,5,0,9,5,6,8,4,7,9,0,2,5,7,0,7,7,8,2,4,4,5,5,3,5,0,8,1,2,3,6",2026-09-18 18:18:54
17/01/2022 to 23/01/2022,"1,1,7,9,3,6,7,0,3,5,9,7,9,3,6,0,7,9,9,5,2,5,8,9,1,2,3,6,0,2,8,0,1,0,0,1,0,3,8,9,2,3,9,4,1,1,5,5,5,6,7,8,7,1,7,9",2026-09-18 18:18:54
24/01/2022 to 30/01/2022,"5,5,0,0,3,2,5,6,1,1,2,4,2,3,4,5,3,3,9,5,2,1,4,7,1,2,6,9,8,3,7,8,4,8,9,1,7,5,6,6,1,2,0,3,4,3,4,7",2026-09-18 18:18:54
31/01/2022 to 06/02/2022,"1,3,0,4,8,2,7,9,1,6,9,6,1,1,3,7,6,8,9,3,9,2,3,4,5,7,9,1,4,1,5,8,3,7,0,0,8,8,0,0,8,8,9,5,8,3,6,9,1,5,6,2,5,2,6,7",2026-09-18 18:18:54
07/02/2022 to 13/02/2022,"1,7,0,8,1,1,2,8,2,5,9,6,9,2,8,9,2,6,6,4,0,1,2,7,2,2,6,0,4,4,4,6,2,3,8,3,5,1,5,9,2,7,0,9,1,5,8,8,1,2,6,9,3,1,4,8",2026-09-18 18:18:54
14/02/2022 to 20/02/2022,"5,5,8,8,3,4,4,5,4,4,7,5,9,1,8,0,1,4,4,9,6,2,6,8,4,7,0,1,0,2,3,5,4,6,7,7,8,2,2,4,3,6,7,6,5,4,5,6,3,4,6,3,0,1,3,6",2026-09-18 18:18:54
